"Discriminant_Function_1","Color"
-4.21251841102394,Dark
-3.68731379697987,Dark
-3.77394418893239,Dark
-3.78019098108317,Dark
-3.50431536854788,Dark
-4.06424620615805,Dark
-4.05270130893547,Dark
-3.83416989971286,Dark
-3.91560454451179,Dark
-4.12962004748873,Dark
-4.11916903727682,Dark
-4.17970457386612,Dark
-4.11946211355034,Dark
-2.58045959544612,Dark
-3.94426191723608,Dark
-4.09814446135187,Dark
-1.41260412660244,Dark
-1.11877259799228,Dark
-4.29532134000973,Dark
-0.700524049429938,Dark
-0.504671990360326,Dark
-1.09491695678438,Dark
-4.0601280363661,Dark
-4.26576242643472,Dark
-3.91395261818092,Dark
-4.37326163036254,Dark
-4.22906954733557,Dark
2.55803671798664,Pale
0.425175697249483,Pale
3.06094668842368,Pale
2.71704944429013,Pale
1.09493883756796,Pale
0.341574490834154,Pale
3.08857291617132,Pale
0.332115196822154,Pale
1.46445894516478,Pale
0.74493654420555,Pale
1.27328096501639,Pale
0.334268051330803,Pale
0.47367810905219,Pale
2.69331382431198,Pale
0.88570072027988,Pale
2.51282098457406,Pale
2.44356659340351,Pale
2.48170781954784,Pale
2.39027935921748,Pale
2.62941440550974,Pale
2.30282174565419,Pale
2.58734132691031,Pale
2.57163707824191,Pale
2.3861129525926,Pale
2.5859409522992,Pale
2.77826505407329,Pale
2.50410703355261,Pale
2.28250404070292,Pale
1.22011326020105,Pale
2.35980998074282,Pale
2.67465725100005,Pale
2.62831829974127,Pale
2.49056777730693,Pale
2.57523340279266,Pale
2.63862215041017,Pale
1.83725383048574,Pale
2.94623087631097,Pale
2.39621958357678,Pale
2.24227855556327,Pale
2.41745216733038,Pale
2.64609049254986,Pale
2.3328724968271,Pale
2.56164507251927,Pale
2.05288007961533,Pale
