Altitude	mean_adaptive	median_adaptive	mean_neutral	median_neutral	t_statistic	p_value	degrees_of_freedom	bonferroni_p	significance	y_position
450	0.06445405849753116	0.06333520615384615	0.06467191430475665	0.06265909954759277	-0.25022444451188797	0.8024671391394607	963.2530813872605	1	NA	0.16
850	0.06374705901659594	0.0622401198630137	0.06525684833771248	0.06374716725978648	-1.8726277872001071	0.06142157357585005	966.341558493569	0.6756373093343505	NA	0.16
900	0.06085526657272388	0.0592965634980889	0.06309668939484993	0.06199579579849524	-3.0684936691017133	0.002212023036897857	956.428049839454	0.024332253405876428	*	0.16
1000	0.06271114423495493	0.06125989136490251	0.06385394557972555	0.06253019604223008	-1.4730197577634607	0.14107265067894811	962.4724693514958	1	NA	0.16
1100	0.061128667081998454	0.05926875117370892	0.06303155509878676	0.06158044020618557	-2.5396524509612872	0.01125271234697113	961.7889668324744	0.12377983581668243	NA	0.16
1200	0.0586368625845417	0.05728261623616236	0.06144702235100568	0.06022714975318563	-4.124631537188503	4.0340733872698434e-5	962.8329141140474	4.4374807259968277e-4	***	0.16
1300	0.06252081144718195	0.06046893292682927	0.0645883314198191	0.06337356500410027	-2.607342279866679	0.009266961007139807	956.1220182229262	0.10193657107853787	NA	0.16
1900	0.06145356130888847	0.05983988028169014	0.0636601819803786	0.06245576587301588	-2.7005017187420512	0.00704539898288772	959.6769321168438	0.07749938881176492	NA	0.16
2000	0.062215381329864046	0.060612752886836034	0.062648420899034	0.06088513838576995	-0.5219912010755247	0.6017962436654852	965.0403099797743	1	NA	0.16
2100	0.062232202915932344	0.06140488571428571	0.06328511657508698	0.06164698121079877	-1.2399533942436531	0.21529641135637242	957.5241336608651	1	NA	0.16
2300	0.06342964187074095	0.061782202185792355	0.06438278703745934	0.06283324989787581	-1.0962230808453406	0.2732568904550513	957.16986913109	1	NA	0.16
