Pop1 Pop2 Fst Distance
CANCK CKLYU 0.043110 8195.74
CANCK ELEVT 0.028408 6655.25
CANCK IST06 0.046782 13885.23
CANCK IST12 0.026214 6043.36
CANCK IST13 0.029507 5086.13
CANCK IST14 0.023814 2808.65
CANCK KALEK 0.038046 7366.21
CANCK PIKNK 0.022906 1341.54
CANCK PLVYL 0.042332 9638
CANCK VRCNK 0.039238 7113.74
CKLYU ELEVT 0.029297 8437.87
CKLYU IST06 0.060909 21615.61
CKLYU IST12 0.052662 13961.47
CKLYU IST13 0.048443 12937.82
CKLYU IST14 0.047976 10992.71
CKLYU KALEK 0.010195 898.34
CKLYU PIKNK 0.036759 8071.85
CKLYU PLVYL 0.060319 16759.58
CKLYU VRCNK 0.013670 3147.25
ELEVT IST06 0.052061 15107.77
ELEVT IST12 0.037575 8889.77
ELEVT IST13 0.036687 7998.62
ELEVT IST14 0.035347 7889.14
ELEVT KALEK 0.027396 7639.15
ELEVT PIKNK 0.025876 5348.32
ELEVT PLVYL 0.046551 9827.52
ELEVT VRCNK 0.028744 9797.15
IST06 IST12 0.029007 7845.4
IST06 IST13 0.022369 8806.72
IST06 IST14 0.033322 11254.2
IST06 KALEK 0.056395 20722.31
IST06 PIKNK 0.039266 13613.45
IST06 PLVYL 0.015364 5294.77
IST06 VRCNK 0.057707 20995.85
IST12 IST13 0.011290 1031.32
IST12 IST14 0.019619 3453.39
IST12 KALEK 0.047554 13082.8
IST12 PIKNK 0.025449 5889.86
IST12 PLVYL 0.024017 4256.6
IST12 VRCNK 0.050439 13156.91
IST13 IST14 0.018788 2656.56
IST13 KALEK 0.043945 12057.49
IST13 PIKNK 0.022948 4868.18
IST13 PLVYL 0.020474 4828.5
IST13 VRCNK 0.046896 12190.38
IST14 KALEK 0.042538 10151.99
IST14 PIKNK 0.027068 3194.64
IST14 PLVYL 0.030653 7478.43
IST14 VRCNK 0.044615 9841.47
KALEK PIKNK 0.032028 7195.25
KALEK PLVYL 0.056012 15861.26
KALEK VRCNK 0.013880 3126.55
PIKNK PLVYL 0.035487 9039.57
PIKNK VRCNK 0.033634 7515.3
PLVYL VRCNK 0.056412 16554.78
