Pop1	Pop2	Fst	Distance
450	850	0.018176	5294.77
450	900	0.028779	7845.4
450	1000	0.023674	8806.72
450	1100	0.029615	11254.2
450	1200	0.041904	13885.23
450	1300	0.033616	13613.45
450	1900	0.036253	15107.77
450	2000	0.038894	20995.85
450	2100	0.036216	20722.31
450	2300	0.039158	21615.61
850	900	0.024875	4256.6
850	1000	0.021208	4828.5
850	1100	0.026911	7478.43
850	1200	0.037391	9638
850	1300	0.030694	9039.57
850	1900	0.033226	9827.52
850	2000	0.037926	16554.78
850	2100	0.035867	15861.26
850	2300	0.038437	16759.58
900	1000	0.015446	1031.32
900	1100	0.020436	3453.39
900	1200	0.027076	6043.36
900	1300	0.024974	5889.86
900	1900	0.030436	8889.77
900	2000	0.036632	13156.91
900	2100	0.033327	13082.8
900	2300	0.036643	13961.47
1000	1100	0.019395	2656.56
1000	1200	0.029216	5086.13
1000	1300	0.022505	4868.18
1000	1900	0.028057	7998.62
1000	2000	0.032536	12190.38
1000	2100	0.029447	12057.49
1000	2300	0.032749	12937.82
1100	1200	0.02603	2808.65
1100	1300	0.025166	3194.64
1100	1900	0.028925	7889.14
1100	2000	0.033545	9841.47
1100	2100	0.030944	10151.99
1100	2300	0.034544	10992.71
1200	1300	0.027033	1341.54
1200	1900	0.032031	6655.25
1200	2000	0.03673	7113.74
1200	2100	0.034397	7366.21
1200	2300	0.038611	8195.74
1300	1900	0.025896	5348.32
1300	2000	0.029969	7515.3
1300	2100	0.027488	7195.25
1300	2300	0.030993	8071.85
1900	2000	0.027751	9797.15
1900	2100	0.024461	7639.15
1900	2300	0.025906	8437.87
2000	2100	0.017405	3126.55
2000	2300	0.018441	3147.25
2100	2300	0.014689	898.34
