K	LH
1	-4115763.829266
1	-4115763.829266
1	-4115763.829266
1	-4115763.829266
1	-4115763.829266
1	-4115763.829266
1	-4115763.829266
1	-4115763.829266
1	-4115763.829266
1	-4115763.829266
2	-4028910.645176
2	-4028910.609162
2	-4028910.406339
2	-4028910.465366
2	-4028910.648806
2	-4028910.515596
2	-4028910.609128
2	-4028910.556451
2	-4028910.656329
2	-4028910.648445
3	-3966300.371605
3	-3966251.087542
3	-3966271.078118
3	-3966087.705858
3	-3966358.038681
3	-3966087.597798
3	-3966228.391151
3	-3966087.713039
3	-3966426.982842
3	-3966112.288912
4	-3921263.111248
4	-3917275.866403
4	-3918281.723589
4	-3920368.168297
4	-3919865.550730
4	-3916756.813509
4	-3916916.841778
4	-3918336.134251
4	-3916942.760596
4	-3922329.029081
5	-3872495.859761
5	-3871624.299817
5	-3882475.706725
5	-3871015.298980
5	-3874921.447491
5	-3872244.103988
5	-3873657.916702
5	-3871935.923686
5	-3875707.550758
5	-3873206.259277
