Pop1	Pop2	Fst
1200	2300	0.038611
1200	1900	0.032031
1200	2000	0.034397
1200	1300	0.027033
1200	2100	0.036730
1900	2300	0.025906
1900	2000	0.024461
1900	2100	0.027751
450	1200	0.041904
450	2300	0.039158
450	1900	0.036253
450	900	0.028779
450	1000	0.023674
450	1100	0.029615
450	2000	0.036216
450	1300	0.033616
450	850	0.018176
450	2100	0.038894
900	1200	0.027076
900	2300	0.036643
900	1900	0.030436
900	1000	0.015446
900	1100	0.020436
900	2000	0.033327
900	1300	0.024974
900	2100	0.036632
1000	1200	0.029216
1000	2300	0.032749
1000	1900	0.028057
1000	1100	0.019395
1000	2000	0.029447
1000	1300	0.022505
1000	2100	0.032536
1100	1200	0.026030
1100	2300	0.034544
1100	1900	0.028925
1100	2000	0.030944
1100	1300	0.025166
1100	2100	0.033545
2000	2300	0.014689
1300	2300	0.030993
1300	1900	0.025896
1300	2000	0.027488
1300	2100	0.029969
850	1200	0.037391
850	2300	0.038437
850	1900	0.033226
850	900	0.024875
850	1000	0.021208
850	1100	0.026911
850	2000	0.035867
850	1300	0.030694
850	2100	0.037926
2100	2300	0.018441
2100	2000	0.017405
