locus_id	model	bootstrap_type	fit_orientation	trend_spearman	rho_spearman	n_sites	alt_min	alt_max	alt_rng	center_bound_low	center_bound_high	width_bound_high	dp_obs	center	center_lo	center_hi	width	width_lo	width_hi	pMin	pMax	p_low_orig	p_high_orig	delta_p	delta_p_signed	delta_p_abs	delta_p_abs_lo	delta_p_abs_hi	logLik	AIC	n_boot_total	n_boot_ok	boot_success_prop	center_boot_sd	width_boot_sd	delta_p_abs_boot_sd	center_ci_hits_bound	width_ci_hits_bound
R004174_136	free_noTails	parametric	original	Increasing	0.867938670382317	11	450	2300	1850	265	2485	9250	0.5	1046.51913071452	962.132978718753	1233.05119953454	144.573268447129	11.683366869512	433.29342481254	0.00139115333670817	0.396686581503919	0.00139115333670817	0.396686581503919	0.39529542816721	0.39529542816721	0.39529542816721	0.251617891859059	0.511498263810736	-49.831285295169	107.662570590338	100	100	1	61.5798740426671	119.764781311359	0.0671646899223718	FALSE	FALSE
R009081_18	free_noTails	parametric	flipped_to_increasing	Decreasing	-0.783801281907812	11	450	2300	1850	265	2485	9250	0.5	1125.72772796619	1005.06791237658	1212.0486967574	48.4237674112811	3.24697071817606	434.992052109054	0.596862113681549	0.985618150769757	0.403137886318451	0.014381849230243	0.388756037088208	-0.388756037088208	0.388756037088208	0.280912196933313	0.562559170601495	-49.3302387112054	106.660477422411	100	100	1	50.4012534294815	110.944546857034	0.0697246792924088	FALSE	FALSE
R009667_81	free_noTails	parametric	original	Increasing	0.738608122106681	11	450	2300	1850	265	2485	9250	0.5	1322.87694883004	1205.20614006282	2188.70186677951	96.8647743580981	15.0734020080546	1386.6507594379	0.0367817191436167	0.360284793625489	0.0367817191436167	0.360284793625489	0.323503074481872	0.323503074481872	0.323503074481872	0.170452167276751	0.762942875664897	-39.9009114092778	87.8018228185556	100	100	1	297.829215365216	374.584910585712	0.14242704042024	FALSE	FALSE
R010003_49	free_noTails	parametric	flipped_to_increasing	Decreasing	-0.891187340592907	11	450	2300	1850	265	2485	9250	0.5	918.174399589048	448.921375954496	1260.55831551761	694.939913578583	12.8665901408664	1254.86991724764	0.464474431919523	0.999029527874651	0.535525568080477	0.000970472125348509	0.534555095955129	-0.534555095955129	0.534555095955129	0.274019743007486	0.975647551314819	-38.6836863332466	85.3673726664931	100	100	1	192.680716572776	369.225280315575	0.200853111665324	FALSE	FALSE
R017192_80	free_noTails	parametric	flipped_to_increasing	Decreasing	-0.761499937545733	11	450	2300	1850	265	2485	9250	0.5	1852.99171895457	1024.34685219452	1937.96331498215	163.435306284454	14.6015152604192	1060.57410680898	0.668928757340511	0.999365841884996	0.331071242659489	0.000634158115004113	0.330437084544485	-0.330437084544485	0.330437084544485	0.22289153732374	0.65915450644549	-48.7901372879869	105.580274575974	100	100	1	283.334188886571	311.304891686599	0.113580762959949	FALSE	FALSE
R017916_78	free_noTails	parametric	flipped_to_increasing	Decreasing	-0.919198937236662	10	450	2300	1850	265	2485	9250	0.416666666666667	1205.61864592174	884.35784831553	1496.89243486011	372.567627184893	11.4588518671681	868.609618124516	0.64646395589612	0.999960577424691	0.35353604410388	3.94225753086452e-05	0.353496621528571	-0.353496621528571	0.353496621528571	0.212815945720168	0.65730241961911	-43.014019217556	94.028038435112	100	100	1	156.820969122162	242.857970988484	0.112862110891898	FALSE	FALSE
R022224_24	free_noTails	parametric	flipped_to_increasing	Decreasing	-0.834181103747123	11	450	2300	1850	265	2485	9250	0.5	1934.14762536332	616.981711231965	2015.68204821587	134.059516554514	14.3079463173107	2132.21386477136	0.595676389781471	0.949514502331593	0.404323610218529	0.0504854976684073	0.353838112550121	-0.353838112550121	0.353838112550121	0.246862030100082	0.883458917378273	-66.4472449181029	140.894489836206	100	100	1	363.871137014425	571.037908619931	0.130736251863394	FALSE	FALSE
R022224_25	free_noTails	parametric	flipped_to_increasing	Decreasing	-0.894986499355357	11	450	2300	1850	265	2485	9250	0.5	1104.7228145869	523.140462442482	1912.93669417859	1552.59247776083	28.0605182964168	2023.08967402573	0.404023277303568	0.986405859930334	0.595976722696432	0.0135941400696664	0.582382582626766	-0.582382582626766	0.582382582626766	0.256658023904889	0.924677414384579	-61.0635034058718	130.127006811744	100	100	1	359.412412524377	601.338202357938	0.192906531870952	FALSE	FALSE
R022224_8	free_noTails	parametric	flipped_to_increasing	Decreasing	-0.930484210398471	11	450	2300	1850	265	2485	9250	0.5	1897.34029012382	795.756096408278	2006.53199928589	92.5456567178571	27.9069604380247	2314.80752563607	0.543822038891064	0.915866614229944	0.456177961108936	0.0841333857700557	0.37204457533888	-0.37204457533888	0.37204457533888	0.239492554378778	0.910093711870458	-67.6388641777947	143.277728355589	100	100	1	318.901935643426	592.716783994151	0.14321504969568	FALSE	FALSE
R024672_18	free_noTails	parametric	flipped_to_increasing	Decreasing	-0.8149545652343	10	450	2300	1850	265	2485	9250	0.571428571428571	1126.92155235966	1029.4535096451	1295.40786045993	66.4305910603971	4.19007168447623	647.683558760712	0.490981368351384	0.965620946921991	0.509018631648616	0.0343790530780095	0.474639578570606	-0.474639578570606	0.474639578570606	0.347927180505891	0.695553239204946	-51.3113505373737	110.622701074747	100	100	1	108.744164690526	211.32345569096	0.0928269734137388	FALSE	FALSE
